year,month,similarity
2011,7,0.0040650406504065
2011,8,0.02694750049195922
2011,9,0.004116613383448484
2011,10,0.0031874886642884754
2011,11,0.003824911844549238
2011,12,0.005208554453073408
2012,1,0.004564614752222747
2012,2,0.0024353812500142458
2012,3,0.004699768578094684
2012,4,0.004585227926810888
2012,5,0.00308605250964624
2012,6,0.0036024404215150756
2012,7,0.005265971763617903
2012,8,0.007973866429890222
2012,9,0.006621808013178587
2012,10,0.006344332112649563
2012,11,0.006811282625559722
2012,12,0.007077411182140518
2013,1,0.00767826198535813
2013,2,0.006780129415399913
2013,3,0.007282321709911378
2013,4,0.006913677666115803
2013,5,0.007510408220877631
2013,6,0.0048191433525948905
2013,7,0.004725790527189158
2013,8,0.005063114700184289
2013,9,0.005408208742013059
2013,10,0.00748095661600084
2013,11,0.00936601868632297
2013,12,0.008473723322848294
2014,1,0.00749979502358969
2014,2,0.00797191107623836
2014,3,0.0064791272669364654
2014,4,0.006605915430225061
2014,5,0.005865080412911925
2014,6,0.00676632809904511
2014,7,0.005584327042665154
2014,8,0.007577885729581335
2014,9,0.0071639339759019625
2014,10,0.007563603014511007
2014,11,0.006720237884471278
2014,12,0.006925297242625112
2015,1,0.006715703165992589
2015,2,0.008478923844524658
2015,3,0.008009402617350392
2015,4,0.007172232391703284
2015,5,0.007797388286347019
2015,6,0.007189486486251311
2015,7,0.007526756630970952
2015,8,0.0074563656132799385
2015,9,0.007749594919241097
2015,10,0.006880577913909576
2015,11,0.006322040362807153
2015,12,0.006539700149126584
2016,1,0.006243895552105394
2016,2,0.006038711470165935
2016,3,0.0066362705282300705
2016,4,0.006736901622940022
2016,5,0.006612646693848568
2016,6,0.0065270503361588555
2016,7,0.007378865937373328
2016,8,0.007824926497997818
2016,9,0.0076614035465669755
2016,10,0.007560005071482749
2016,11,0.007684375233088294
2016,12,0.007967946262643183
2017,1,0.007339803017335629
2017,2,0.007595794034999239
2017,3,0.007723877454998717
2017,4,0.007927745162528584
2017,5,0.007854981745732575
2017,6,0.008075183572686778
2017,7,0.008857142780668218
2017,8,0.009307083351525523
2017,9,0.009469065179988438
2017,10,0.008211139063840597
2017,11,0.00743727568621444
2017,12,0.007486938673945431
2018,1,0.007717145611370955
2018,2,0.007538042947899061
2018,3,0.007943558579329253
2018,4,0.008188995346425525
2018,5,0.008033262096870596
2018,6,0.008278635261609438
2018,7,0.008080533474624228
2018,8,0.008292003568373339
2018,9,0.008527616059959752
2018,10,0.008396175990096065
2018,11,0.008674190367926894
2018,12,0.008847009065966813
2019,1,0.00935075204324097
2019,2,0.008991503037505476
2019,3,0.008057361518466555
2019,4,0.008661907136673468
2019,5,0.008468939246261721
2019,6,0.010286015889422899
2019,7,0.007915214294711845
2019,8,0.007910846871574482
2019,9,0.008234147114876729
2019,10,0.008289302199446286
2019,11,0.008039248777568732
2019,12,0.00816850098234196
2020,1,0.008100239571005518
2020,2,0.008209012301404186
2020,3,0.011822169897316433
2020,4,0.013325591761568304
2020,5,0.011763972798825927
2020,6,0.01132693505193919
2020,7,0.011322603076586312
2020,8,0.009843357032691766
2020,9,0.01052121004288792
2020,10,0.010534108232089185
2020,11,0.010653395315327116
2020,12,0.010438008780767978
2021,1,0.01237385864458961
2021,2,0.013571875705844205
2021,3,0.012978665874019111
2021,4,0.014377067282615362
2021,5,0.013863966498473015
2021,6,0.014257896016836528
2021,7,0.015337399603442853
2021,8,0.016060549282542715
2021,9,0.015803360121940148
2021,10,0.015858563236193272
2021,11,0.01607339957633384
2021,12,0.015624171249574912
2022,1,0.014809891797133629
2022,2,0.015749588890011695
2022,3,0.012618271110998683
2022,4,0.010141325482387567
2022,5,0.010614496647084522
2022,6,0.010910469397035393
2022,7,0.010232650761713518
2022,8,0.010020760650430793
2022,9,0.010132945514794788
2022,10,0.010443097754877449
2022,11,0.010306824357716904
2022,12,0.010272108926086739
2023,1,0.010239493802603724
2023,2,0.010473745719662291
2023,3,0.010940611853071642
2023,4,0.010061508025030154
2023,5,0.00991894941208689
2023,6,0.01380891989954832
2023,7,0.010350510085095393
2023,8,0.009020253862330482
2023,9,0.011944697183641861
2023,10,0.008898831550250338
2023,11,0.01192800430699495
