PC,term,estimate,std.error,statistic,p.value
PC1,(Intercept),269.7446143746607,28.317541993321537,9.525707225516882,5.114239537821609e-14
PC1,time,-0.014646722059627701,0.0015385221847412796,-9.519994059813131,5.234055378072566e-14
PC1,POST,0.05402852103479624,0.016523742867521098,3.2697507742627825,0.0017122730829412982
PC2,ONSET,-13.378050133155472,3.321548068798995,-4.027655134309921,1.4801832960564283e-4
PC3,(Intercept),-97.79569660502646,19.29278245006016,-5.069030185675551,3.460855093552078e-6
PC3,time,0.005268018294436258,0.001048197396928205,5.025788377145802,4.073950275382473e-6
PC4,POST,0.01962240875874091,0.009813564619912845,1.9995189840524206,0.04967163721576351
PC6,POST,-0.03296163046179263,0.006872091813831464,-4.796447916404541,9.587276766618858e-6
PC11,POST,0.015584485787839655,0.006211151986924009,2.50911357839074,0.014566353840303714
PC16,ONSET,-2.9935988990530085,1.1512197369246298,-2.6003714174064747,0.011480824211478287
