PC,term,estimate,std.error,statistic,p.value
mean_lex_avg_word_length,(Intercept),5.360806844777512,0.24323044862976967,22.040031891473426,3.840947232382566e-32
mean_lex_avg_word_length,time,3.9092697510122256e-5,1.3214969057333102e-5,2.958213321614202,0.004291490077905256
mean_lex_avg_word_length,ONSET,-0.06577381655134444,0.030987029879485428,-2.122624104573803,0.03754107979104536
mean_lex_avg_sent_length_by_char,(Intercept),384.39358135012276,38.46799452806145,9.992555787375844,7.777090180554834e-15
mean_lex_avg_sent_length_by_char,time,-0.012183996806178932,0.0020900070704543048,-5.829643821985012,1.8211263632044965e-7
mean_lex_avg_sent_length_by_word,(Intercept),60.23315047597455,5.556928725932143,10.839287931639033,2.6886725544543383e-16
mean_lex_avg_sent_length_by_word,time,-0.0018891629805349627,3.01913849934045e-4,-6.257291545080367,3.308288089679111e-8
mean_lex_special_char_count,(Intercept),0.05996893261272586,0.012713372581268362,4.716996393316037,1.2847053016648347e-5
mean_lex_punctuation_count,(Intercept),0.21664346652945363,0.020416569273602542,10.611159182829079,6.609293832448189e-16
mean_lex_punctuation_count,time,-2.9546718810479516e-6,1.109253930696131e-6,-2.6636568952193818,0.009703234396418216
mean_lex_functional_words_count,(Intercept),0.25812471913542556,0.021311831727052588,12.111803548437834,1.98276635873904e-18
mean_lex_functional_words_count,time,4.011220642292675e-6,1.1578944923000882e-6,3.464236740883554,9.389151085268603e-4
mean_lex_functional_word_a,(Intercept),0.047906934312314076,0.00786453416207532,6.091515825989143,6.430211624745942e-8
mean_lex_functional_word_a,time,-1.5155774210420612e-6,4.272885084398279e-7,-3.546965085899308,7.227959286009415e-4
mean_lex_functional_word_a,ONSET,0.003600105025466922,0.0010019245388121806,3.593189792252202,6.235593574296939e-4
mean_lex_functional_word_in,(Intercept),0.02428839955892423,0.0044287716059150314,5.484229425262039,7.050184960490972e-7
mean_lex_functional_word_in,ONSET,0.0015518149474938305,5.642158654683713e-4,2.750392256704135,0.007673637199737809
mean_lex_functional_word_some,time,5.595173780721337e-8,2.683112068808006e-8,2.0853298845646195,0.040910331900095104
mean_lex_functional_word_some,POST,-8.171799452699713e-7,2.881664908665683e-7,-2.8357910137732,0.006062748193255222
mean_lex_functional_word_upon,(Intercept),2.2015369909361945e-4,1.0600969610509783e-4,2.07673172532595,0.0417232995752076
mean_lex_functional_word_about,time,1.1762038328526535e-7,4.010410754896241e-8,2.93287621826928,0.004613031063510332
mean_lex_functional_word_both,(Intercept),8.907396408473952e-4,3.0804148920446204e-4,2.8916223043454,0.005184653869527987
mean_lex_functional_word_both,POST,4.6074704292763645e-7,1.7974718149418626e-7,2.5633060785575594,0.012654455743416457
mean_lex_functional_word_somebody,(Intercept),-6.305537625700988e-5,2.698826840760269e-5,-2.336399479384419,0.022516520483952127
mean_lex_functional_word_somebody,time,3.877173512112799e-9,1.4663013365581513e-9,2.6441860315108814,0.010221431461245666
mean_lex_functional_word_us,ONSET,-1.6167287675257025e-4,6.383860931172512e-5,-2.5325250423786425,0.01371051871846571
mean_lex_functional_word_above,(Intercept),4.2733526050041414e-4,1.4638389214113653e-4,2.919277894923011,0.004794666032367137
mean_lex_functional_word_above,time,-1.754238968529594e-8,7.953192604111909e-9,-2.205704118900162,0.030892027946728316
mean_lex_functional_word_but,time,1.439334132675347e-7,4.18943355318931e-8,3.4356294577810367,0.0010269651413368861
mean_lex_functional_word_but,ONSET,3.520783989892116e-4,9.823564635496346e-5,3.58401875544256,6.42155009881859e-4
mean_lex_functional_word_but,POST,-1.986928093637507e-6,4.4994556126668035e-7,-4.415929980604622,3.819469075837149e-5
mean_lex_functional_word_inside,(Intercept),0.001159903743108807,2.059458527147318e-4,5.632081092283323,3.9615874341075927e-7
mean_lex_functional_word_inside,time,-5.3476623187829614e-8,1.1189257292592767e-8,-4.779282644901809,1.021483708976787e-5
mean_lex_functional_word_of,time,1.4688921623078173e-6,2.88111442938234e-7,5.098347178882173,3.0976423131628775e-6
mean_lex_functional_word_of,POST,-6.668535382791959e-6,3.094319631863105e-6,-2.155089381886771,0.03480735776705582
mean_lex_functional_word_someone,(Intercept),7.574709190519942e-4,1.6005103114543354e-4,4.7326837798608326,1.2127658927426578e-5
mean_lex_functional_word_someone,time,-3.28536371623285e-8,8.69574280726912e-9,-3.778128894850113,3.417455930427393e-4
mean_lex_functional_word_used,(Intercept),-0.0031055326157694066,0.0013864229337020562,-2.239960505757754,0.028466655626181964
mean_lex_functional_word_used,time,1.916723826437961e-7,7.532583306269177e-8,2.5445770043362423,0.01328789140774773
mean_lex_functional_word_after,(Intercept),0.00604931232044422,9.943206426447522e-4,6.083864762531637,6.629847818015721e-8
mean_lex_functional_word_after,time,-2.505607290434652e-7,5.402249841515005e-8,-4.6380811031353195,1.7145929266061066e-5
mean_lex_functional_word_after,ONSET,3.4403934898853363e-4,1.2667428620468795e-4,2.715936748462226,0.008428155552731994
mean_lex_functional_word_by,(Intercept),-0.015514938642251482,0.004014813151704017,-3.864423587350868,2.5669531084493983e-4
mean_lex_functional_word_by,time,1.1424117203676856e-6,2.181290700635124e-7,5.237319904380699,1.825573268816438e-6
mean_lex_functional_word_by,ONSET,-0.001369385483169548,5.114784591865317e-4,-2.677308220071386,0.009354324053919024
mean_lex_functional_word_into,(Intercept),0.0038381403317996683,4.907434329252825e-4,7.821073241715777,5.535417471017039e-11
mean_lex_functional_word_into,time,-1.5631244973821454e-7,2.6662612833758896e-8,-5.862608091443287,1.598487680663423e-7
mean_lex_functional_word_into,ONSET,2.2873925429169116e-4,6.251964548387463e-5,3.6586780446585974,5.049169318102823e-4
mean_lex_functional_word_off,(Intercept),0.0020119330548164552,4.2779299975375024e-4,4.703052775465192,1.3521306639381313e-5
mean_lex_functional_word_off,time,-8.534058618946809e-8,2.3242448823891194e-8,-3.6717553660587376,4.8395736872468547e-4
mean_lex_functional_word_something,time,1.555903788420313e-8,7.264090961800526e-9,2.1419112131198537,0.03589532823927317
mean_lex_functional_word_via,(Intercept),0.016966044468380008,0.0022110432522307703,7.673320931764945,1.0176381996889425e-10
mean_lex_functional_word_via,time,-8.895042976133154e-7,1.2012833231718426e-7,-7.404617049579008,3.0767969765170866e-10
mean_lex_functional_word_via,ONSET,6.503709476785099e-4,2.816820990450779e-4,2.308882779144692,0.02409001460441334
mean_lex_functional_word_all,time,2.259624073279225e-7,6.27933392626198e-8,3.5985091728102363,6.13009480378185e-4
mean_lex_functional_word_can,time,1.573957823777965e-7,7.792381569225789e-8,2.0198674946744752,0.04746001647557747
mean_lex_functional_word_can,POST,2.0422495223517075e-6,8.369025201749033e-7,2.440247786474463,0.017370013037174184
mean_lex_functional_word_is,(Intercept),0.010846508153579005,0.0016464908180814548,6.587651770945016,8.705828579133784e-9
mean_lex_functional_word_on,(Intercept),0.02770252332061174,0.0030241948472251967,9.160297110495298,2.2598542130627575e-13
mean_lex_functional_word_on,time,-1.0514734654752848e-6,1.6430772361999335e-7,-6.39941593924766,1.865793899979033e-8
mean_lex_functional_word_on,ONSET,0.0010238702889151052,3.852758428077968e-4,2.657499316472549,0.009864463347536307
mean_lex_functional_word_we,(Intercept),-0.004124287539543137,0.0017721816963746123,-2.3272374091100674,0.023029987185328758
mean_lex_functional_word_we,time,3.2044509307038857e-7,9.628451706393897e-8,3.3281061466776936,0.0014328475627090125
mean_lex_functional_word_it,time,1.5113915763320515e-7,5.936466258474884e-8,2.5459448610095152,0.013240676511370989
mean_lex_functional_word_it,ONSET,3.1452103821723114e-4,1.392008233480054e-4,2.2594768525967766,0.027161254767908757
mean_lex_functional_word_once,(Intercept),3.7546255174411276e-4,1.8182070143697487e-4,2.0650154178085196,0.04285358586271691
mean_lex_functional_word_than,time,1.0876981951473702e-7,3.900214602228024e-8,2.788816273150752,0.006905581535372544
mean_lex_functional_word_than,POST,-1.3875211213193923e-6,4.1888341848125073e-7,-3.31242789783883,0.0015033725164232585
mean_lex_functional_word_what,POST,8.582280685105189e-7,3.3642998267276724e-7,2.5509856811581653,0.013067987113543886
mean_lex_functional_word_am,(Intercept),-6.797019173469735e-4,2.7495398348821137e-4,-2.4720569919515847,0.016019777647823315
mean_lex_functional_word_am,time,4.8842762424286724e-8,1.493854245821785e-8,3.2695801856772047,0.0017131604106176573
mean_lex_functional_word_am,ONSET,-1.0985606369654823e-4,3.5028539189192444e-5,-3.136187412875121,0.002556180997909122
mean_lex_functional_word_am,POST,6.042479513613268e-7,1.6044008779544988e-7,3.766190605253854,3.5544960466974855e-4
mean_lex_functional_word_its,time,1.0693936708869037e-7,3.8357119307322485e-8,2.7879926600294858,0.0069212758404969404
mean_lex_functional_word_one,(Intercept),0.0029925773336761602,6.305581743952152e-4,4.745917910819917,1.1551463612375701e-5
mean_lex_functional_word_one,time,-8.259014329515135e-8,3.425889649270392e-8,-2.410764845059749,0.018711733304333397
mean_lex_functional_word_that,(Intercept),-0.0072029412520132965,0.00230823421221191,-3.1205417604095467,0.002677263919437931
mean_lex_functional_word_that,time,7.083847506827395e-7,1.2540882057857892e-7,5.648603881406239,3.7133778781054807e-7
mean_lex_functional_word_that,ONSET,7.068243575337999e-4,2.940640158565525e-4,2.4036411101676456,0.019049524739580992
mean_lex_functional_word_that,POST,-6.385831802766458e-6,1.3468919233738545e-6,-4.741161255737929,1.1755417578801622e-5
mean_lex_functional_word_among,(Intercept),-0.0014868520804388506,5.4877898129234e-4,-2.709382339931109,0.008579149825092242
mean_lex_functional_word_among,time,1.0008508741850533e-7,2.981574592304333e-8,3.3567862993209165,0.0013118371493938228
mean_lex_functional_word_down,(Intercept),7.760045846306851e-4,2.6457109414407325e-4,2.933066392385665,0.004610536669713388
mean_lex_functional_word_onto,(Intercept),5.6708167433466e-4,1.3094972099443402e-4,4.330529840218321,5.17167553487872e-5
mean_lex_functional_word_onto,time,-2.703267871448795e-8,7.114637664636729e-9,-3.7995861474230437,3.183756599627109e-4
mean_lex_functional_word_the,time,2.3098599176326124e-6,4.1117913639016926e-7,5.617648643147056,4.19173970315097e-7
mean_lex_functional_word_the,ONSET,-0.002489890265613686,9.641505878572581e-4,-2.5824703080327454,0.012034720967662307
mean_lex_functional_word_the,POST,-9.263371323577686e-6,4.416067827675212e-6,-2.097651504699438,0.039769256114401255
mean_lex_functional_word_when,(Intercept),0.003022555362611196,4.083831802415333e-4,7.401272894793419,3.11941874891785e-10
mean_lex_functional_word_when,time,-9.708856394422149e-8,2.218789267885527e-8,-4.37574515748156,4.4064627968434404e-5
mean_lex_functional_word_when,ONSET,1.1738039754591937e-4,5.2027128510072736e-5,2.2561383052918993,0.027380745014508177
mean_lex_functional_word_an,(Intercept),0.008027092899927597,0.0011672938230702118,6.876668702670565,2.6824846077099324e-9
mean_lex_functional_word_an,time,-2.5379650774496875e-7,6.34203153412303e-8,-4.0018171839642775,1.6162320475677017e-4
mean_lex_functional_word_an,ONSET,3.610668603148001e-4,1.4871069299663477e-4,2.4279818286030768,0.01791737146415216
mean_lex_functional_word_each,(Intercept),0.0013482403131179336,3.561686105689861e-4,3.785399030431385,3.336493665141607e-4
mean_lex_functional_word_each,time,-4.3137139524365645e-8,1.9351019555231796e-8,-2.2291920795823374,0.029210340047265786
mean_lex_functional_word_each,ONSET,-1.010011793415593e-4,4.537510595408728e-5,-2.225916110118997,0.029439950756528048
mean_lex_functional_word_each,POST,5.134543813697713e-7,2.0783013369988719e-7,2.470548289745194,0.016081623256295547
mean_lex_functional_word_their,time,1.495950567739187e-7,6.597115350473588e-8,2.2675828574557166,0.026634783223640778
mean_lex_functional_word_where,(Intercept),0.001627877651070787,3.225163088188586e-4,5.047427390672157,3.754901759304585e-6
mean_lex_functional_word_where,time,-5.22397031493391e-8,1.752265419702416e-8,-2.9812665685208164,0.00401711622816162
mean_lex_functional_word_where,ONSET,1.2490947000431984e-4,4.10878759394277e-5,3.0400566383247227,0.0033894166395648166
mean_lex_functional_word_and,(Intercept),0.02548839964206431,0.0031993376856413558,7.966773797106939,3.036249177289909e-11
mean_lex_functional_word_either,(Intercept),3.3629197378591986e-4,1.3489043471198844e-4,2.493075024214684,0.015180163306782707
mean_lex_functional_word_like,(Intercept),0.005513386266039582,7.978159149012805e-4,6.910599504300178,2.335149882426648e-9
mean_lex_functional_word_like,time,-2.571774591768192e-7,4.33461874870625e-8,-5.9331044801478505,1.2087017293822913e-7
mean_lex_functional_word_or,ONSET,-4.3957052834579986e-4,1.7224357354200635e-4,-2.552028614516631,0.013032513463720377
mean_lex_functional_word_whether,(Intercept),-8.895400093139118e-4,2.606117028500836e-4,-3.413277299468083,0.0011011428049628657
mean_lex_functional_word_whether,time,5.892515086827694e-8,1.4159311091782552e-8,4.1615831791756115,9.340900111926722e-5
mean_lex_functional_word_whether,POST,-3.2515407547367335e-7,1.520711355235987e-7,-2.138170891892994,0.03620947853463908
mean_lex_functional_word_another,(Intercept),-5.118799995210407e-4,2.487675977470322e-4,-2.057663474491414,0.043576276118300804
mean_lex_functional_word_another,time,4.77374097085006e-8,1.3515808260083756e-8,3.5319685504479605,7.580941622469137e-4
mean_lex_functional_word_enough,POST,-2.2912768015107438e-7,7.0707637721177e-8,-3.240494061682539,0.0018709405856251794
mean_lex_functional_word_little,(Intercept),6.990220369097016e-4,1.8489505954045855e-4,3.780642049858246,3.3892584589404737e-4
mean_lex_functional_word_little,time,-2.689592661484237e-8,1.0045545302595264e-8,-2.6773983695931185,0.009352058487518189
mean_lex_functional_word_little,ONSET,5.23237049444773e-5,2.3555228248870624e-5,2.221320226306277,0.029764749512289485
mean_lex_functional_word_little,POST,-2.5689223333605145e-7,1.078892519005384e-7,-2.3810734508834748,0.020155915441139212
mean_lex_functional_word_our,time,1.5077873991724992e-7,6.869599027923177e-8,2.194869588521435,0.0316960051323864
