PC,term,estimate,std.error,statistic,p.value
similarity_lex_special_char_count,(Intercept),0.007967541990234481,0.003019920680978984,2.6383282317373977,0.01038219038469353
similarity_lex_special_char_count,POST,4.32342424745153e-6,1.7621724662604742e-6,2.4534626038201113,0.01679713758026765
similarity_lex_punctuation_count,POST,7.56811448781982e-5,2.784592748700839e-5,2.717853262869678,0.008384466251346707
similarity_lex_functional_words_count,(Intercept),0.01724112740139228,0.001573456374278673,10.957486768132489,1.6908302579604432e-16
similarity_lex_functional_words_count,time,-7.730825312063909e-7,8.548755888209655e-8,-9.043216829628008,3.644590333011186e-13
similarity_lex_functional_words_count,ONSET,-5.194818814636278e-4,2.0045491820004218e-4,-2.591514771142784,0.011751908111035318
similarity_lex_functional_words_count,POST,4.729260213519408e-6,9.181371938275778e-7,5.150929779681208,2.537520190640294e-6
similarity_lex_functional_word_a,(Intercept),8.019293254589549e-4,7.720141050071265e-5,10.387495775761145,1.6047044303678823e-15
similarity_lex_functional_word_a,time,-3.554311324512236e-8,4.194434770386398e-9,-8.473874357533058,3.762106955409071e-12
similarity_lex_functional_word_a,POST,1.4662358825435967e-7,4.504826924683549e-8,3.2548106887515895,0.0017916457976456302
similarity_lex_functional_word_in,(Intercept),6.690223262486212e-4,5.1410772814586635e-5,13.013271141856896,6.88978503578972e-20
similarity_lex_functional_word_in,time,-2.996631310002907e-8,2.793201985136624e-9,-10.728301519005015,4.1617716853524584e-16
similarity_lex_functional_word_in,POST,9.898982565751388e-8,2.999901583298158e-8,3.2997691060478815,0.0015626882667178353
similarity_lex_functional_word_some,(Intercept),2.015993370823013e-5,5.170997676007639e-6,3.8986545675253454,2.2893121967065716e-4
similarity_lex_functional_word_some,time,-8.386599676376144e-10,2.8094580538309575e-10,-2.9851307674589536,0.003972751344214132
similarity_lex_functional_word_upon,(Intercept),1.9369895488803184e-6,7.808598596569249e-7,2.480585376396919,0.01567418149890618
similarity_lex_functional_word_about,(Intercept),5.446663385217256e-5,8.594815379581665e-6,6.337149949906617,2.398704527913201e-8
similarity_lex_functional_word_about,time,-2.388587775747552e-9,4.669654639643704e-10,-5.115127263308281,2.906860480812495e-6
similarity_lex_functional_word_about,POST,1.4271390723033506e-8,5.015213515336787e-9,2.845619768608224,0.005898846159627369
similarity_lex_functional_word_both,(Intercept),2.3511551706727726e-5,6.052082655364478e-6,3.884869564014865,2.397466255119483e-4
similarity_lex_functional_word_both,time,-1.1401105768660463e-9,3.2881608973554794e-10,-3.4673199166834756,9.29864447672532e-4
similarity_lex_functional_word_including,(Intercept),1.2477804948744755e-5,5.910744583933035e-6,2.1110377502460054,0.03856099285362229
similarity_lex_functional_word_nothing,POST,1.6093998903616082e-9,5.504165703798427e-10,2.9239670042109394,0.004731298056466421
similarity_lex_functional_word_us,(Intercept),1.459871760938021e-5,7.209700525575895e-6,2.024871568186821,0.046929292935502645
similarity_lex_functional_word_above,(Intercept),4.721139935169933e-6,1.359626542603817e-6,3.472379942015909,9.151896684101381e-4
similarity_lex_functional_word_above,time,-2.2705155315809078e-10,7.386995662449781e-11,-3.073665716527478,0.0030728952756858574
similarity_lex_functional_word_but,(Intercept),2.256243243551878e-5,4.373166648823486e-6,5.159289422823335,2.4581499205653467e-6
similarity_lex_functional_word_but,time,-8.491680210862265e-10,2.375987968296262e-10,-3.5739575806654242,6.631619497233403e-4
