PC,term,estimate,std.error,statistic,p.value
mean_lex_avg_word_length,(Intercept),5.437047168646924,0.09321189340968307,58.32997238614306,1.0319834527662759e-66
mean_lex_avg_word_length,time,1.0302693715738412e-4,5.064301341068324e-6,20.343761205894275,3.819951441251342e-33
mean_lex_avg_word_length,POST,1.4780743970047917e-4,1.8597197708664058e-5,7.947833970255566,1.1015973431721094e-11
mean_lex_avg_sent_length_by_char,(Intercept),130.61751114582657,6.2336963990727154,20.95346048056758,5.3136512202395055e-34
mean_lex_avg_sent_length_by_char,time,0.0014495738405629808,3.3868335765784626e-4,4.280026779548489,5.202827235249296e-5
mean_lex_avg_sent_length_by_char,POST,0.006180816012531474,0.0012437177290221153,4.9696292561425475,3.8109403532874745e-6
mean_lex_avg_sent_length_by_word,(Intercept),25.140564071066823,0.8883006365298901,28.301864298192335,4.177745437568175e-43
mean_lex_avg_sent_length_by_word,time,-1.3062145842064097e-4,4.826231868371039e-5,-2.706489492903884,0.008329379494960605
mean_lex_special_char_count,(Intercept),-0.038870709485899116,0.010109160803349181,-3.8450975547862676,2.4259685488156916e-4
mean_lex_special_char_count,time,1.1057945881181663e-5,5.492414620145271e-7,20.133122944911953,7.622839308142309e-33
mean_lex_punctuation_count,(Intercept),-0.011912444685761723,0.005667942124624367,-2.101723063474506,0.038764206071986426
mean_lex_punctuation_count,time,6.2483691386131255e-6,3.0794532599689656e-7,20.290514617767233,4.546822527133425e-33
mean_lex_punctuation_count,POST,4.909616118187403e-6,1.1308411023217642e-6,4.341561434322932,4.154171857979337e-5
mean_lex_functional_words_count,(Intercept),0.4259187875030055,0.007868386283033452,54.1303861023462,3.27654287333958e-64
mean_lex_functional_words_count,time,-6.599487504494937e-6,4.2749779826991927e-7,-15.43747717813523,1.4438265123077884e-25
mean_lex_functional_words_count,POST,-2.332626887210302e-5,1.569863351134463e-6,-14.85878936867102,1.3760442061566554e-24
mean_lex_functional_word_a,(Intercept),0.047231433259572166,0.0022835176573984027,20.68362953382311,1.2657982070220866e-33
mean_lex_functional_word_a,time,-1.4253861231049915e-6,1.2406594385856117e-7,-11.488939500834924,1.577306153267383e-18
mean_lex_functional_word_a,POST,-1.009036450625581e-6,4.555966818441639e-7,-2.2147581201452216,0.029657727056064266
mean_lex_functional_word_between,(Intercept),-0.0017211934893122205,4.791262706225508e-4,-3.592358830743709,5.677420763305486e-4
mean_lex_functional_word_between,time,1.7237209697517472e-7,2.603144004585561e-8,6.621688875895193,3.9145549396245266e-9
mean_lex_functional_word_between,POST,-5.610204037644871e-7,9.559301561464499e-8,-5.868843033742916,9.807193511444002e-8
mean_lex_functional_word_in,(Intercept),0.0315570655813827,0.0020125597186271362,15.680064193528276,5.683089985712317e-26
mean_lex_functional_word_in,time,-7.764562067736665e-7,1.0934451076137783e-7,-7.1010076442531656,4.786813284115607e-10
mean_lex_functional_word_in,POST,1.0857923644888611e-6,4.015364307996565e-7,2.704094276891675,0.008384437224845148
mean_lex_functional_word_nor,POST,-3.008324817456705e-8,1.4408964266089026e-8,-2.087814753303739,0.04003706643352323
mean_lex_functional_word_some,POST,-2.8335872675703427e-7,6.332789463229765e-8,-4.474469400922093,2.5400673026870814e-5
mean_lex_functional_word_upon,POST,5.133362414333751e-8,2.560131737211502e-8,2.005116510107802,0.04837552834314018
mean_lex_functional_word_both,(Intercept),0.0026104847558228936,5.497313957143075e-4,4.748655027117186,8.991973670528964e-6
mean_lex_functional_word_both,time,-6.073559851784687e-8,2.9867491611903245e-8,-2.0335018188685656,0.04535956661757157
mean_lex_functional_word_including,time,5.127581034740068e-8,1.815527751408011e-8,2.824292292289905,0.005995757364360734
mean_lex_functional_word_including,POST,1.3287050820838105e-7,6.667006219534826e-8,1.9929561160309188,0.04971918273460871
mean_lex_functional_word_us,(Intercept),0.001276845694941968,2.164084091326932e-4,5.90016672669617,8.597988977112797e-8
mean_lex_functional_word_us,time,-5.650787204733239e-8,1.1757699114341883e-8,-4.806031477570714,7.208120279394706e-6
mean_lex_functional_word_above,(Intercept),-3.658526410598824e-4,1.2634042661992763e-4,-2.895768605883246,0.004889771573642355
mean_lex_functional_word_above,time,2.4221832858048815e-8,6.864209797244361e-9,3.52871394865767,6.994399365754162e-4
mean_lex_functional_word_above,POST,-8.583021975193683e-8,2.5206846535355093e-8,-3.4050359941514885,0.0010422108953998042
mean_lex_functional_word_inside,(Intercept),2.5238195596064336e-4,8.388501238072496e-5,3.008665657879017,0.0035196378899081007
mean_lex_functional_word_inside,time,-1.1709020929893388e-8,4.557561971497375e-9,-2.569141353013006,0.012077331429788984
mean_lex_functional_word_of,(Intercept),0.06721274157225648,0.0028679743764921197,23.435614391529473,2.5751539210061e-37
mean_lex_functional_word_of,time,-2.2990249752200884e-6,1.5582009923542454e-7,-14.754354454277117,2.0763854057959073e-24
mean_lex_functional_word_of,POST,1.7527132110790059e-6,5.722047321642089e-7,3.06308758484021,0.0029950855401507806
mean_lex_functional_word_used,(Intercept),0.006682228145794814,6.149629752758017e-4,10.86606578680275,2.3884305953251192e-17
mean_lex_functional_word_used,time,-2.929562379095244e-7,3.3411592732146795e-8,-8.768101546612533,2.76048278964416e-13
mean_lex_functional_word_used,POST,-3.0127446382559855e-7,1.226945147916533e-7,-2.4554843738303265,0.016265342448171294
mean_lex_functional_word_by,(Intercept),0.00682857501683574,0.0011715016276255092,5.828907835729113,1.1594500361854926e-7
mean_lex_functional_word_into,POST,2.507486113047346e-7,1.1619479410631576e-7,2.158002113892512,0.03396495832079155
mean_lex_functional_word_something,(Intercept),7.296793869941568e-5,2.9501907821940794e-5,2.4733294924455316,0.015531735137933168
mean_lex_functional_word_something,time,-3.6601608403854582e-9,1.6028700403076258e-9,-2.2835044316400057,0.025087533575299827
mean_lex_functional_word_via,(Intercept),-7.794968544442152e-4,2.795877724845052e-4,-2.7880219779189916,0.006640884667934551
mean_lex_functional_word_via,time,6.312436095460953e-8,1.5190301144472794e-8,4.155570080819512,8.159023991738125e-5
mean_lex_functional_word_via,POST,-2.060468000331195e-7,5.578203479856774e-8,-3.693784222414381,4.0528280557118677e-4
mean_lex_functional_word_all,POST,-4.1144293892282154e-7,8.802359501140409e-8,-4.674234662530156,1.1955836887803857e-5
mean_lex_functional_word_can,(Intercept),0.002772091186432257,9.447897694233268e-4,2.934082561165183,0.004377511584089922
mean_lex_functional_word_can,POST,-1.4757707846172319e-6,1.8850000243921108e-7,-7.829022628756462,1.875759755246635e-11
mean_lex_functional_word_is,(Intercept),0.024981497513699505,0.001665946365305355,14.99537922346053,8.051093404186366e-25
mean_lex_functional_word_is,time,-8.138163421901515e-7,9.051263849863359e-8,-8.99119013310431,1.012089035156151e-13
mean_lex_functional_word_is,POST,-3.186140192058716e-6,3.323817679729215e-7,-9.585785079277526,7.018089354521999e-15
mean_lex_functional_word_on,(Intercept),0.005073216012404678,0.0016695305393489152,3.0387081235322206,0.003220379939393287
mean_lex_functional_word_on,time,2.803825652340746e-7,9.070737048777626e-8,3.09106706242641,0.002754615631655024
mean_lex_functional_word_on,POST,-2.707228143727207e-6,3.330968654875421e-7,-8.127450073013245,4.920889907181127e-12
mean_lex_functional_word_such,(Intercept),0.004023315965867871,5.697496239612896e-4,7.06155089299581,5.697292421619446e-10
mean_lex_functional_word_such,time,-1.2053163057003546e-7,3.095510325081103e-8,-3.8937563733332885,2.0516631178688454e-4
mean_lex_functional_word_such,POST,3.7127495907082895e-7,1.1367376000694341e-7,3.2661447905668886,0.0016138341782196103
mean_lex_functional_word_we,(Intercept),0.018443014100125034,0.002246808406104017,8.208538854501333,3.418823459387641e-12
mean_lex_functional_word_we,POST,-1.5982779336625497e-6,4.4827262501958914e-7,-3.565414982886154,6.203348176784792e-4
mean_lex_functional_word_although,time,2.1378022229647985e-8,9.79547726332749e-9,2.1824380430837675,0.03204782662899752
mean_lex_functional_word_it,(Intercept),0.003831906650034909,6.665974891128712e-4,5.748456471287539,1.622540071752406e-7
mean_lex_functional_word_it,time,-8.702168916840561e-8,3.621695080508255e-8,-2.4027889492064394,0.01861601913979618
mean_lex_functional_word_it,POST,-5.653235140333428e-7,1.3299638966290206e-7,-4.2506681231440515,5.789149674192561e-5
mean_lex_functional_word_than,(Intercept),0.0030048645545853294,5.308983404427327e-4,5.659962229453343,2.3436086364358908e-7
mean_lex_functional_word_than,time,-1.1023444121354236e-7,2.8844271681705563e-8,-3.8217099890741353,2.628308158577677e-4
mean_lex_functional_word_than,POST,-3.315911954001716e-7,1.0592233500740676e-7,-3.1305125153914393,0.002446008503453363
mean_lex_functional_word_what,(Intercept),4.597818846572443e-4,2.105781218738875e-4,2.1834266568898437,0.031972294407046076
mean_lex_functional_word_its,POST,2.3845841099057087e-7,8.69991389328469e-8,2.74092840360906,0.0075733623402050665
mean_lex_functional_word_one,(Intercept),0.003777364715867435,5.100260179654992e-4,7.406219649215926,1.2377447057682257e-10
mean_lex_functional_word_one,time,-1.5327618480280878e-7,2.7710256194560834e-8,-5.531388224151277,3.983362259724991e-7
mean_lex_functional_word_one,POST,-2.4731757944431296e-7,1.0175798758832751e-7,-2.430448806091389,0.017346836915263147
mean_lex_functional_word_that,(Intercept),0.011296440527131458,0.0019442564368201724,5.81015976761109,1.2540818404834857e-7
mean_lex_functional_word_that,POST,-7.938199047841252e-7,3.8790888189522934e-7,-2.046408169118769,0.04404256367267254
