PC,term,estimate,std.error,statistic,p.value
similarity_lex_avg_word_length,(Intercept),0.23154967599849238,0.04722319047997894,4.903304364762516,4.9404543546446545e-6
similarity_lex_avg_sent_length_by_char,POST,1.6371706053801351,0.5716729211206832,2.8638239540377315,0.005358520836980434
similarity_lex_avg_sent_length_by_word,POST,0.02323302975535709,0.010171545205297255,2.284119992236531,0.025049586573828
similarity_lex_special_char_count,(Intercept),-0.0038258744745719065,0.001376254566637475,-2.779917732748709,0.006793462630951911
similarity_lex_special_char_count,time,3.267314288793961e-7,7.477337486151239e-8,4.369622602758465,3.746796862526372e-5
similarity_lex_punctuation_count,time,3.674646899471925e-8,1.3713586984109975e-8,2.6795665523030285,0.008967637228398554
similarity_lex_functional_words_count,(Intercept),0.0023140875908007016,3.6376683207181755e-4,6.361458458488149,1.207028447967831e-8
similarity_lex_functional_words_count,time,-5.5483329126727296e-8,1.9763839013553463e-8,-2.8073153747446766,0.00629020068292575
similarity_lex_functional_words_count,POST,2.5584044269421683e-7,7.257704407055012e-8,3.5250876633322443,7.077546867873488e-4
similarity_lex_functional_word_a,(Intercept),5.379800820421397e-4,4.242597561954437e-5,12.680441031373912,9.741516776182719e-21
similarity_lex_functional_word_a,time,-2.0965145919893817e-8,2.305048394219944e-9,-9.095317032156574,6.337760596162816e-14
similarity_lex_functional_word_between,time,8.05159582265549e-10,3.7517277240411757e-10,2.146103452833381,0.03493411900230401
similarity_lex_functional_word_between,POST,-4.4479126969364165e-9,1.3777146645533444e-9,-3.2284716214285427,0.0018134635608304376
similarity_lex_functional_word_in,(Intercept),3.213213450899029e-4,3.1349297406363474e-5,10.249714401085082,3.6329320523276706e-16
similarity_lex_functional_word_in,time,-1.1136796561591449e-8,1.703240681946105e-9,-6.53859239016453,5.61558028710661e-9
similarity_lex_functional_word_in,POST,1.3391003029803266e-8,6.254664083814079e-9,2.1409627839897465,0.035360221203922015
similarity_lex_functional_word_upon,(Intercept),2.589852684415086e-6,1.041563317210386e-6,2.4865052768481477,0.015009271213342574
similarity_lex_functional_word_upon,POST,4.139511158833623e-10,2.0780780464482348e-10,1.9919902266946636,0.04982726235798527
similarity_lex_functional_word_both,(Intercept),3.1154110912318094e-5,6.38082056173119e-6,4.882461528406564,5.358572321803562e-6
similarity_lex_functional_word_both,time,-1.113487311679412e-9,3.4667676994677054e-10,-3.211889022302761,0.0019084704030637898
similarity_lex_functional_word_nothing,(Intercept),4.255472592019131e-7,2.0053611225320343e-7,2.1220480162924638,0.03696717591835016
similarity_lex_functional_word_nothing,time,-2.2098444872329788e-11,1.0895340337663665e-11,-2.0282473229347926,0.045905362464586555
similarity_lex_functional_word_us,(Intercept),1.2553211659768607e-5,2.3431501785717004e-6,5.35740806311467,8.103437869558177e-7
similarity_lex_functional_word_us,time,-5.847288559356995e-10,1.273058421794963e-10,-4.593103080935237,1.626899717198114e-5
similarity_lex_functional_word_above,POST,-4.74330055965386e-10,2.12602731410029e-10,-2.2310628505077177,0.02851235518800749
similarity_lex_functional_word_but,(Intercept),1.4678906847313843e-5,4.3898869356931786e-6,3.3438006632842794,0.0012655838250609805
similarity_lex_functional_word_inside,(Intercept),2.5277673679729474e-6,9.969183185847256e-7,2.535581221500163,0.013199279801027433
similarity_lex_functional_word_inside,time,-1.2148973818863678e-10,5.4163632912747316e-11,-2.243013100401624,0.027697712406771914
similarity_lex_functional_word_of,(Intercept),5.151130657775223e-4,6.985832184142826e-5,7.37368222137915,1.430349999217079e-10
similarity_lex_functional_word_of,time,-1.735947921186266e-8,3.795476950901373e-9,-4.5737280021526745,1.7503931337990867e-5
similarity_lex_functional_word_used,(Intercept),6.641214918006529e-5,6.253027946912162e-6,10.620798394617857,7.030244811820529e-17
similarity_lex_functional_word_used,time,-3.075166871189218e-9,3.3973366121962394e-10,-9.051699087307242,7.710419514530582e-14
similarity_lex_functional_word_after,(Intercept),4.361625975729619e-6,2.140925014110622e-6,2.0372623734986415,0.04497238000124761
similarity_lex_functional_word_by,(Intercept),8.96827596918321e-5,1.181736120152783e-5,7.589068165254803,5.4819161487803e-11
similarity_lex_functional_word_by,time,-2.8758194286109113e-9,6.420498070750395e-10,-4.479122019695273,2.496352513856782e-5
similarity_lex_functional_word_into,(Intercept),1.983853887627369e-5,5.9203236638962005e-6,3.35092133513826,0.0012374656592273221
similarity_lex_functional_word_something,(Intercept),6.34533999908129e-7,2.5818343883643787e-7,2.457686684970191,0.016173157897389455
similarity_lex_functional_word_something,time,-3.224718192140143e-11,1.4027380924387226e-11,-2.2988740446435205,0.024155083036181323
similarity_lex_functional_word_via,POST,-1.3064229966152258e-9,5.193141960061434e-10,-2.51566971722023,0.013908513438077003
similarity_lex_functional_word_all,(Intercept),1.0431505406252174e-5,4.638731519478252e-6,2.248784039871631,0.027311685903139156
similarity_lex_functional_word_all,POST,-2.78393200001913e-9,9.254978525753994e-10,-3.008037233443851,0.003526164578600454
similarity_lex_functional_word_can,(Intercept),5.148141988498563e-5,1.1512302383216986e-5,4.471861333319123,2.564895561455806e-5
similarity_lex_functional_word_can,time,-1.3935543571173885e-9,6.254756369110866e-10,-2.227991427451053,0.028725100423777353
similarity_lex_functional_word_can,POST,-9.288145625916173e-9,2.2968803193560045e-9,-4.043809138701823,1.214458667401534e-4
similarity_lex_functional_word_is,(Intercept),2.914501339744057e-4,2.2969025339122093e-5,12.688833316666335,9.403964373254762e-21
similarity_lex_functional_word_is,time,-1.1939090675506136e-8,1.2479315844029888e-9,-9.567103537344801,7.630447498776888e-15
similarity_lex_functional_word_is,POST,-1.2685075919039233e-8,4.582671693294814e-9,-2.7680525178357285,0.0070226438567610565
similarity_lex_functional_word_on,(Intercept),1.284400713373011e-4,2.703701282056757e-5,4.75052744138932,8.92750019285375e-6
similarity_lex_functional_word_on,time,-3.1618054974464195e-9,1.4689496723757987e-9,-2.1524260203773276,0.03441618296189886
similarity_lex_functional_word_on,POST,-1.4067418416547108e-8,5.3942973850539406e-9,-2.6078314583700766,0.010891289188686216
similarity_lex_functional_word_such,(Intercept),3.87065447849778e-5,6.5583355981993315e-6,5.90188534963126,8.536078253442303e-8
similarity_lex_functional_word_such,time,-1.3984074094843385e-9,3.5632135074392466e-10,-3.924568108435701,1.843944102459119e-4
similarity_lex_functional_word_such,POST,3.0266663328952387e-9,1.3084882121578313e-9,2.3131017190471708,0.02331934059308517
similarity_lex_functional_word_we,(Intercept),3.073866165494068e-4,2.363337453046903e-5,13.006463218069534,2.4905891928850332e-21
similarity_lex_functional_word_we,time,-1.1822852117726022e-8,1.284026382798388e-9,-9.207639559523283,3.826237219957814e-14
similarity_lex_functional_word_it,(Intercept),4.949105297170747e-5,9.247937415532285e-6,5.351577411043596,8.297299534165396e-7
similarity_lex_functional_word_it,time,-1.7825956006909207e-9,5.024502790620366e-10,-3.5478049768797657,6.5716978315268e-4
similarity_lex_functional_word_than,(Intercept),2.931022931400826e-5,4.7689052373789876e-6,6.146112756502853,3.035545499776437e-8
similarity_lex_functional_word_than,time,-1.211556121945354e-9,2.5909969538905727e-10,-4.6760229498769315,1.1874577222287434e-5
similarity_lex_functional_word_one,(Intercept),3.273872840170958e-5,5.63486912546382e-6,5.810024629279171,1.2547908646819146e-7
similarity_lex_functional_word_one,time,-1.4005615480944766e-9,3.061484347647256e-10,-4.574779384943794,1.7434644073997416e-5
similarity_lex_functional_word_that,(Intercept),1.7718467147354e-4,2.2020854004855754e-5,8.046221614950516,7.0857454217550096e-12
similarity_lex_functional_word_that,time,-6.406297100386089e-9,1.1964164270122614e-9,-5.354571331308238,8.197193895686006e-7
similarity_lex_functional_word_among,(Intercept),6.3323894653955e-6,2.6671057629077603e-6,2.3742551020892906,0.02001143323132934
similarity_lex_functional_word_down,(Intercept),1.1735523148473939e-6,5.728835428801644e-7,2.048500658523677,0.04383216850059948
similarity_lex_functional_word_down,ONSET,1.3819701487963972e-7,5.6802008933774915e-8,2.4329599863406717,0.017235529963390644
similarity_lex_functional_word_onto,(Intercept),2.354784462859183e-6,1.0255055187009946e-6,2.29621822595551,0.024313985797338435
similarity_lex_functional_word_onto,time,-1.126664167817691e-10,5.571680591020914e-11,-2.0221262676711507,0.04654826913360091
similarity_lex_functional_word_the,(Intercept),6.913195984520211e-4,1.1718680404844474e-4,5.899295608114983,8.629538600215666e-8
similarity_lex_functional_word_the,time,-1.3931914147539465e-8,6.366883744005124e-9,-2.1881841584837103,0.031610981844595334
